YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION,HWY (L/100 km),COMB (L/100 km),COMB (mpg),EMISSIONS
2004.0,FORD,F150 LIGHTNING #,PICKUP TRUCK - STANDARD,5.4,8.0,A4,Z,18.7,13.1,16.2,17.0,373.0
2015.0,FORD,TRANSIT CONNECT WAGON TAXI,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.0,8.5,10.4,27.0,239.0
2014.0,INFINITI,Q60 CONVERTIBLE,SUBCOMPACT,3.7,6.0,M6,Z,12.7,8.3,10.7,26.0,246.0
2009.0,GMC,CANYON 4X4,PICKUP TRUCK - SMALL,5.3,8.0,A4,X,14.8,10.6,12.9,22.0,297.0
2001.0,DAEWOO,NUBIRA WAGON,STATION WAGON - SMALL,2.0,4.0,A4,X,10.6,7.1,9.0,31.0,207.0
2011.0,HYUNDAI,ACCENT,COMPACT,1.6,4.0,A4,X,7.6,5.5,6.7,42.0,154.0
2009.0,TOYOTA,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4.0,A4,X,8.1,6.2,7.2,39.0,166.0
2001.0,PONTIAC,FIREBIRD,SUBCOMPACT,3.8,6.0,M5,X,12.3,6.9,9.9,29.0,228.0
2007.0,CHEVROLET,MONTE CARLO,MID-SIZE,5.3,8.0,A4,Z,12.9,8.1,10.8,26.0,248.0
2004.0,TOYOTA,TACOMA 4X4,PICKUP TRUCK - STANDARD,3.4,6.0,M5,X,14.1,11.0,12.7,22.0,292.0
2010.0,FORD,FUSION AWD,MID-SIZE,3.5,6.0,AS6,X,12.7,8.3,10.7,26.0,246.0
2006.0,VOLKSWAGEN,JETTA TDI DIESEL,COMPACT,1.9,4.0,AS6,D,6.8,5.1,6.0,47.0,162.0
2022.0,Maserati,Levante Trofeo,SUV: Standard,3.8,8.0,A8,Z,17.4,12.0,15.0,19.0,349.0
2018.0,Subaru,Forester AWD,SUV: Small,2.5,4.0,AV6,X,9.2,7.4,8.4,34.0,196.0
2010.0,NISSAN,SENTRA,MID-SIZE,2.5,4.0,M6,Z,9.8,7.0,8.5,33.0,196.0
2022.0,BMW,M3 Competition Sedan M xDrive,Compact,3.0,6.0,AS8,Z,14.6,10.5,12.7,22.0,296.0
2015.0,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4.0,AM6,Z,10.4,7.6,9.1,31.0,209.0
2017.0,VOLKSWAGEN,JETTA,COMPACT,2.0,4.0,AS6,X,9.8,7.4,8.7,32.0,205.0
2019.0,Chevrolet,Colorado,Pickup truck: Small,2.5,4.0,A6,X,12.1,9.2,10.8,26.0,253.0
2007.0,CHEVROLET,EXPRESS PASSENGER AWD FFV,VAN - PASSENGER,5.3,8.0,A4,X,17.3,12.7,15.2,19.0,350.0
2019.0,Lexus,IS 300 AWD,Compact,3.5,6.0,AS6,Z,12.3,9.1,10.9,26.0,254.0
2010.0,NISSAN,SENTRA,MID-SIZE,2.0,4.0,AV,X,7.5,5.8,6.7,42.0,154.0
2002.0,AUDI,A6 AVANT QUATTRO,STATION WAGON - MID-SIZE,3.0,6.0,AS5,Z,13.5,8.4,11.2,25.0,258.0
2016.0,JAGUAR,F-TYPE CONVERTIBLE,TWO-SEATER,3.0,6.0,AS8,Z,12.1,8.5,10.5,27.0,246.0
2022.0,GMC,CAMRY,SUV: Small,2.7,-38.0,M6,X,-76.0,8.6,10.9,19.0,218.0
2018.0,Maserati,Quattroporte S,Full-size,3.0,6.0,AS8,Z,14.9,10.3,12.8,22.0,300.0
2007.0,LAND ROVER,LR3 4X4,SUV,4.4,8.0,AS6,X,17.2,11.5,14.7,19.0,337.0
2021.0,Subaru,Outback AWD,SUV: Small,2.4,4.0,AV8,X,10.1,7.9,9.1,31.0,213.0
2016.0,AUDI,Q3 QUATTRO,COMPACT,2.0,4.0,AS6,Z,11.9,8.4,10.3,27.0,240.0
2003.0,HYUNDAI,ELANTRA,COMPACT,2.0,4.0,A4,X,9.6,6.5,8.2,34.0,189.0
2006.0,MITSUBISHI,OUTLANDER AWD,SUV,2.4,4.0,AS4,X,11.5,8.6,10.2,28.0,235.0
2010.0,GMC,YUKON XL,SUV,6.2,8.0,A6,Z,17.5,10.6,14.4,20.0,331.0
2016.0,MERCEDES-BENZ,AMG S 65,FULL-SIZE,6.0,12.0,AS7,Z,18.5,11.8,15.5,18.0,361.0
2008.0,HYUNDAI,TIBURON,SUBCOMPACT,2.0,4.0,M5,X,10.2,7.1,8.8,32.0,202.0
2008.0,MERCEDES-BENZ,E 350 4MATIC WAGON,STATION WAGON - MID-SIZE,3.5,6.0,A5,Z,13.3,9.4,11.6,24.0,267.0
2015.0,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6.0,A6,X,14.6,10.2,12.6,22.0,290.0
